Name,Author,Finished,Score,Quote
Animal Farm,George Orwell,"February 18, 2023",4.0,"All animals are equal, but some animals are more equal than others."
To Kill a Mockingbird,Harper Lee,"November 30, 2022",5.0,You never really understand a person until you consider things from his point of view.
The Hitchhiker's Guide to Galaxy,Douglas Adams,"January 31, 2023",3.5,"The Answer to the Ultimate Question of Life, the Universe, and Everything is 42."
Verity,Colleen Hoover,"February 20, 2023",3.0,
All-Star Superman,Grant Morrison,"February 4, 2023",3.5,You're much stronger than you think you are. Trust me.
Meditations,Marcus Aurelius,"March 10, 2023",3.5,"You have power over your mind, not outside events. Realize this, and you will find strength."
Peril at the End House,Agatha Christie,"April 4, 2023",4.0,
Murder on the Orient Express,Agatha Christie,"April 13, 2023",4.0,
100 Selected Poems,Emily Dickinson,"April 17, 2023",4.0,
The Murder of Roger Ackroyd,Agatha Christie,"May 7, 2023",4.5,
And Then There Were None,Agatha Christie,"May 13, 2023",4.5,
Frankenstein,Mary Shelley,"May 26, 2023",4.0,Nothing is so painful to the human mind as a great and sudden change.
The Great Gatsby,F. Scott Fitzgerald,"May 19, 2023",4.0,"So we beat on, boats against the current, borne back ceaselessly into the past."
The Alchemist,Paulo Coelho,"August 9, 2022",3.5,"And, when you want something, all the universe conspires in helping you to achieve it."
The Fault in Our Stars,John Green,"August 20, 2022",3.5,"I fell in love the way you fall asleep: slowly, and then all at once."
Pride & Prejudice,Jane Austen,"August 1, 2023",4.0,"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife."
Bhagavad Gita,Vyasa,"May 31, 2023",4.0,"You have a right to perform your prescribed duties, but you are not entitled to the fruits of your actions."
Sapiens: A Brief History of Humankind,Yuval Noah Harari,"September 22, 2023",5.0,"Biology enables, culture forbids."
Norwegian Wood,Haruki Murakami,"August 27, 2023",4.5,"If you only read the books that everyone else is reading, you can only think what everyone else is thinking."
Before the Coffee Gets Cold,Toshikazu Kawaguchi,"October 15, 2023",4.0,
The Metamorphosis,Franz Kafka,"October 28, 2023",4.5,As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into a gigantic insect.
The Catcher in the Rye,J.D. Salinger,"November 13, 2023",5.0,"Don't ever tell anybody anything. If you do, you start missing everybody."
A Man Called Ove,Fredrik Backman,"December 12, 2023",5.0,"Loving someone is like moving into a house. At first you fall in love with all the new things, amazed every morning that all this is for you."
Tuesdays with Morrie,Mitch Albom,"December 20, 2023",3.5,"Once you learn how to die, you learn how to live."
The Bell Jar,Sylvia Plath,"January 7, 2024",3.5,"I took a deep breath and listened to the old brag of my heart: I am, I am, I am."
Man's Search for Meaning,Viktor Frankl,"January 16, 2024",4.0,"When we are no longer able to change a situation, we are challenged to change ourselves."
The Lightning Thief,Rick Riordan,"January 25, 2024",4.5,
The Sea of Monsters,Rick Riordan,"February 3, 2024",3.5,
Titan's Curse,Rick Riordan,"February 17, 2024",4.5,
The Battle of the Labyrinth,Rick Riordan,"March 4, 2024",4.5,
The Last Olympian,Rick Riordan,"March 19, 2024",4.0,
Brave New World,Aldous Huxley,"March 26, 2024",4.0,Everyone belongs to everyone else.
A Thousand Splendid Suns,Khaled Hosseini,"April 9, 2024",5.0,"One could not count the moons that shimmer on her roofs, or the thousand splendid suns that hide behind her walls."
Kite Runner,Khaled Hosseini,"April 25, 2024",5.0,"For you, a thousand times over."
Six of Crows,Leigh Bardugo,"May 24, 2024",4.0,No mourners. No funerals.
1984,George Orwell,"June 26, 2024",4.5,War is peace. Freedom is slavery. Ignorance is strength.
The Book Thief,Markus Zusak,"July 11, 2024",4.5,I am haunted by humans.
The Invisible Man,H.G. Wells,"May 13, 2022",3.0,"The stranger came early in February, one wintry day, through a biting wind and a driving snow."
Life of Pi,Yann Martel,"August 2, 2024",4.0,I must say a word about fear. It is life's only true opponent.
Hunger Games,Suzanne Collins,"September 27, 2024",3.5,May the odds be ever in your favor.
My Experiments with Truth,Mahatma Gandhi,"October 19, 2024",4.0,The weak can never forgive. Forgiveness is the attribute of the strong.
Norse Mythology,Neil Gaiman,"October 25, 2024",4.0,
The Shining,Stephen King,"December 29, 2024",3.5,All work and no play makes Jack a dull boy.
The Book of Joy,Douglas Abrams,"February 12, 2025",5.0,
The Philosopher's Stone,J.K. Rowling,"January 28, 2025",4.0,It does not do to dwell on dreams and forget to live.
The Chamber of Secrets,J.K. Rowling,"March 14, 2025",4.0,"It is our choices, Harry, that show what we truly are, far more than our abilities."
The Vegetarian,Han Kang,"March 22, 2025",4.5,"Before my wife turned vegetarian, I'd always thought of her as completely unremarkable in every way."
Looking For Alaska,John Green,"April 20, 2025",4.0,"If people were rain, I was drizzle and she was a hurricane."
Prisoner of Azkaban,J.K. Rowling,"May 7, 2025",4.0,"Happiness can be found even in the darkest of times, if one only remembers to turn on the light."
The Goblet of Fire,J.K. Rowling,"May 28, 2025",4.5,"It matters not what someone is born, but what they grow to be."
Order of the Phoenix,J.K. Rowling,"June 15, 2025",4.0,We've all got both light and dark inside us. What matters is the part we choose to act on.
The Half-Blood Prince,J.K. Rowling,"July 2, 2025",5.0,"Do not pity the dead, Harry. Pity the living, and, above all, those who live without love."
The Deathly Hallows,J.K. Rowling,"July 17, 2025",4.5,"Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?"
Think Like a Monk,Jay Shetty,"August 18, 2025",3.5,"The mind is like water. When it's turbulent, it's difficult to see. When it's calm, everything becomes clear."
The Almanack of Naval Ravikant,Eric Jorgenson,"September 2, 2025",3.0,"A fit body, a calm mind, a house full of love. These things cannot be bought — they must be earned."
Men Without Women,Haruki Murakami,"September 23, 2025",4.0,
Eat Pray Love,Elizabeth Gilbert,"October 20, 2025",3.5,Happiness is the consequence of personal effort.
Four Thousand Weeks,Oliver Burkeman,"November 20, 2025",4.0,"The average human lifespan is absurdly, insultingly brief."
